"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",2,2,3,3,3,3,1,5,7,9
"2",0,2,0,0,1,0,0,2,0,5
"3",1,3,1,3,3,3,1,5,5,12
"4",0,3,0,0,2,0,0,3,1,6
"5",0,2,0,0,4,0,0,5,0,10
"6",1,1,1,1,2,1,0,7,2,5
"7",0,8,0,1,4,0,1,11,3,15
"8",0,2,0,0,1,0,0,2,0,5
"9",0,1,0,0,3,0,0,3,0,4
"10",0,0,0,0,1,0,0,1,0,2
"11",1,2,1,2,1,1,0,7,4,14
"12",1,5,2,8,4,6,1,13,12,19
"13",0,6,2,2,4,2,2,9,8,12
"14",1,3,2,3,2,1,1,6,5,13
"15",0,2,0,0,2,0,1,2,0,5
"16",2,5,2,3,3,0,0,9,7,18
"17",0,1,0,0,3,0,0,6,0,6
"18",0,1,1,0,4,0,0,6,1,12
"19",0,3,0,0,2,1,0,5,2,13
"20",2,1,2,1,1,1,0,3,6,14
